armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,38,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,22,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,26,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
No,31,M,No,"Phoenix, AZ",No,No,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,25,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,32,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,26,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,31,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
No,38,M,Yes,"Phoenix, AZ",No,Yes,Yes,Yes,1609816,80.7,23.1,47326,6.5,93.5
Yes,27,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,25,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,24,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,27,F,Yes,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,34,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,47,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,35,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,39,F,No,"Omaha, NE",Yes,Yes,No,No,474651,88.0,16.7,49896,13.7,86.3
No,39,M,No,"Omaha, NE",No,Yes,No,No,474651,88.0,16.7,49896,13.7,86.3
Yes,26,M,Yes,"Omaha, NE",No,Yes,No,No,474651,88.0,16.7,49896,13.7,86.3
Yes,32,M,No,"Omaha, NE",No,Yes,No,No,474651,88.0,16.7,49896,13.7,86.3
Yes,33,M,No,"Omaha, NE",Yes,Yes,Yes,No,474651,88.0,16.7,49896,13.7,86.3
Yes,44,M,No,"Omaha, NE",No,Yes,No,No,474651,88.0,16.7,49896,13.7,86.3
Yes,31,M,Yes,"Omaha, NE",No,Yes,Yes,Yes,474651,88.0,16.7,49896,13.7,86.3
Yes,25,M,No,"Omaha, NE",No,Yes,Yes,No,474651,88.0,16.7,49896,13.7,86.3
Yes,26,M,No,"Rosenberg, TX",No,Yes,No,No,36389,74.6,20.7,44916,13.4,86.6
No,42,M,No,"Stillwater, OK",No,Yes,Yes,No,49648,95.2,33.0,30799,4.7,95.3
Yes,31,M,No,"Wyoming, MI",Yes,Yes,No,No,75680,84.0,14.9,46849,7.2,92.8
Yes,25,M,Yes,"Wyoming, MI",No,Yes,No,No,75680,84.0,14.9,46849,7.2,92.8
Yes,48,M,No,"Billings, MT",No,Yes,Yes,No,109672,92.8,12.8,51012,0.8,99.2
Yes,42,M,No,"Billings, MT",No,Yes,No,No,109672,92.8,12.8,51012,0.8,99.2
Yes,32,M,No,"Billings, MT",Yes,Yes,No,No,109672,92.8,12.8,51012,0.8,99.2
Yes,30,M,No,"Billings, MT",Yes,Yes,No,No,109672,92.8,12.8,51012,0.8,99.2
Yes,31,M,No,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,36,M,No,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,35,M,No,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
No,41,M,Yes,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,49,M,No,"Houston, TX",Yes,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,18,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,63,M,No,"Houston, TX",Yes,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,35,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,20,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,25,M,Yes,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,57,M,Yes,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,39,M,No,"Houston, TX",Yes,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
No,37,M,Yes,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,20,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,29,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,30,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,24,M,Yes,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,25,M,No,"Houston, TX",Yes,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,38,M,Yes,"Houston, TX",No,Yes,No,Yes,2304401,76.7,22.5,46187,23.7,76.3
Yes,46,M,No,"Houston, TX",No,Yes,No,Yes,2304401,76.7,22.5,46187,23.7,76.3
Yes,37,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,23,M,No,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,25,M,Yes,"Houston, TX",No,Yes,No,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,32,M,No,"Houston, TX",No,Yes,Yes,No,2304401,76.7,22.5,46187,23.7,76.3
Yes,39,M,No,"Houston, TX",No,Yes,Yes,Yes,2304401,76.7,22.5,46187,23.7,76.3
Yes,16,M,Yes,"Houston, TX",No,Yes,Yes,Yes,2304401,76.7,22.5,46187,23.7,76.3
Yes,17,M,No,"Bay, MI",No,Yes,No,No,33393,86.7,22.2,34743,3.5,96.5
Yes,42,M,No,"Apple Valley, CA",Yes,Yes,No,No,72293,86.0,20.6,47938,9.1,90.9
Yes,38,F,Yes,"Emeryville, CA",No,Yes,Yes,No,11769,96.9,11.9,77806,17.5,82.5
Yes,29,M,Yes,"Antioch, CA",Yes,Yes,No,No,110963,86.9,15.4,64329,17.3,82.7
Yes,37,M,No,"Antioch, CA",No,Yes,Yes,No,110963,86.9,15.4,64329,17.3,82.7
Yes,45,M,No,"Douglas, GA",Yes,Yes,No,No,11510,78.0,25.8,31465,52.0,48.0
No,28,M,Yes,"Tallahassee, FL",No,Yes,No,No,189723,92.5,29.7,39681,35.0,65.0
Yes,64,M,No,"Tallahassee, FL",No,Yes,No,No,189723,92.5,29.7,39681,35.0,65.0
Yes,37,M,No,"Orlando, FL",No,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
No,23,M,Yes,"Orlando, FL",No,Yes,Yes,No,277034,89.5,20.2,42318,28.1,71.9
Yes,28,M,No,"Orlando, FL",No,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
Yes,25,M,Yes,"Orlando, FL",No,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
Yes,26,F,Yes,"Orlando, FL",No,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
Yes,29,M,No,"Orlando, FL",Yes,Yes,No,Yes,277034,89.5,20.2,42318,28.1,71.9
Yes,43,M,No,"Orlando, FL",Yes,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
Yes,20,M,Yes,"Orlando, FL",No,Yes,Yes,No,277034,89.5,20.2,42318,28.1,71.9
No,37,M,No,"Orlando, FL",No,Yes,No,No,277034,89.5,20.2,42318,28.1,71.9
Yes,28,M,No,"Tempe, AZ",No,Yes,Yes,No,183261,91.7,21.6,49012,5.9,94.1
No,28,M,No,"Tempe, AZ",No,Yes,No,No,183261,91.7,21.6,49012,5.9,94.1
Yes,25,M,No,"Tempe, AZ",No,Yes,No,No,183261,91.7,21.6,49012,5.9,94.1
Yes,34,M,No,"Tempe, AZ",Yes,Yes,No,Yes,183261,91.7,21.6,49012,5.9,94.1
No,19,M,Yes,"Tempe, AZ",Yes,Yes,Yes,No,183261,91.7,21.6,49012,5.9,94.1
Yes,25,M,No,"Tempe, AZ",No,Yes,No,No,183261,91.7,21.6,49012,5.9,94.1
Yes,51,M,Yes,"Lorena, TX",No,Yes,Yes,No,1740,88.9,12.8,53125,0.9,99.1
Yes,36,M,Yes,"Memphis, TN",No,Yes,No,No,652511,83.7,27.6,36445,63.3,36.7
Yes,31,M,No,"Memphis, TN",Yes,Yes,No,No,652511,83.7,27.6,36445,63.3,36.7
No,19,M,Yes,"Memphis, TN",No,Yes,Yes,No,652511,83.7,27.6,36445,63.3,36.7
Yes,32,M,Yes,"Memphis, TN",No,Yes,Yes,Yes,652511,83.7,27.6,36445,63.3,36.7
Yes,32,M,No,"Memphis, TN",No,Yes,No,No,652511,83.7,27.6,36445,63.3,36.7
Yes,59,M,No,"Chino, CA",No,Yes,Yes,No,87413,77.7,11.6,72872,6.2,93.8
Yes,31,M,Yes,"Chino, CA",No,Yes,Yes,No,87413,77.7,11.6,72872,6.2,93.8
Yes,25,M,Yes,"Oklahoma, OK",No,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,27,M,Yes,"Oklahoma, OK",No,Yes,Yes,No,638306,85.0,18.3,47779,15.1,84.9
Yes,40,M,No,"Oklahoma, OK",No,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,83,M,No,"Oklahoma, OK",Yes,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,42,M,Yes,"Oklahoma, OK",No,Yes,Yes,No,638306,85.0,18.3,47779,15.1,84.9
Yes,20,M,No,"Oklahoma, OK",No,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,26,M,Yes,"Oklahoma, OK",No,Yes,Yes,No,638306,85.0,18.3,47779,15.1,84.9
Yes,22,M,Yes,"Oklahoma, OK",No,Yes,Yes,Yes,638306,85.0,18.3,47779,15.1,84.9
Yes,43,M,No,"Oklahoma, OK",Yes,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,42,M,No,"Oklahoma, OK",Yes,Yes,Yes,No,638306,85.0,18.3,47779,15.1,84.9
Yes,21,M,No,"Oklahoma, OK",No,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,38,M,No,"Oklahoma, OK",No,Yes,Yes,Yes,638306,85.0,18.3,47779,15.1,84.9
Yes,24,M,Yes,"Oklahoma, OK",No,Yes,No,Yes,638306,85.0,18.3,47779,15.1,84.9
Yes,33,M,No,"Oklahoma, OK",No,Yes,No,No,638306,85.0,18.3,47779,15.1,84.9
Yes,26,M,No,"Calimesa, CA",No,Yes,No,No,8640,88.3,14.8,46025,1.1,98.9
Yes,74,M,Yes,"Gastonia, NC",No,Yes,No,No,75093,83.2,20.8,40432,27.8,72.2
Yes,52,M,No,"Gastonia, NC",Yes,Yes,No,No,75093,83.2,20.8,40432,27.8,72.2
Yes,59,M,No,"Gastonia, NC",No,Yes,No,No,75093,83.2,20.8,40432,27.8,72.2
Yes,41,M,No,"Nocona, TX",No,Yes,No,No,2946,72.1,31.7,34028,0.5,99.5
Yes,45,M,Yes,"Dallas, TX",No,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,59,M,No,"Dallas, TX",No,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,42,M,Yes,"Dallas, TX",No,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,24,M,No,"Dallas, TX",Yes,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,36,M,No,"Dallas, TX",No,Yes,Yes,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,24,M,No,"Dallas, TX",No,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
No,37,M,No,"Dallas, TX",No,No,No,No,1322575,74.5,24.0,43781,25.0,75.0
Yes,21,F,No,"Dallas, TX",No,Yes,Yes,Yes,1322575,74.5,24.0,43781,25.0,75.0
Yes,28,M,No,"Dallas, TX",No,Yes,No,No,1322575,74.5,24.0,43781,25.0,75.0
No,35,M,No,"Pasco, WA",Yes,Yes,Yes,No,71551,71.9,18.8,55319,1.9,98.1
Yes,45,M,No,"New Castle, CO",Yes,Yes,Yes,No,4726,89.2,12.1,66818,0.7,99.3
Yes,23,M,Yes,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,57,M,No,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,22,M,No,"San Jose, CA",No,Yes,Yes,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,29,M,No,"San Jose, CA",No,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
No,40,M,No,"San Jose, CA",No,Yes,Yes,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,45,M,No,"San Jose, CA",No,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,45,M,No,"San Jose, CA",No,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,18,M,No,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,36,M,No,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,24,M,No,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,35,M,No,"San Jose, CA",Yes,Yes,No,No,1029519,82.7,11.3,84647,3.2,96.8
Yes,46,M,No,"Dadeville, AL",Yes,Yes,Yes,Yes,3114,73.7,28.8,29368,47.5,52.5
Yes,23,M,No,"San Bernardino, CA",No,Yes,Yes,No,216088,68.2,33.4,37047,15.0,85.0
Yes,32,M,No,"San Bernardino, CA",No,No,Yes,No,216088,68.2,33.4,37047,15.0,85.0
No,34,M,No,"San Bernardino, CA",No,No,Yes,No,216088,68.2,33.4,37047,15.0,85.0
Yes,27,F,No,"San Bernardino, CA",No,Yes,Yes,No,216088,68.2,33.4,37047,15.0,85.0
Yes,28,M,No,"San Bernardino, CA",No,Yes,Yes,No,216088,68.2,33.4,37047,15.0,85.0
Yes,49,M,No,"San Bernardino, CA",No,Yes,No,No,216088,68.2,33.4,37047,15.0,85.0
Yes,26,M,No,"San Bernardino, CA",No,Yes,Yes,No,216088,68.2,33.4,37047,15.0,85.0
Yes,24,M,No,"San Bernardino, CA",Yes,Yes,No,No,216088,68.2,33.4,37047,15.0,85.0
Yes,56,M,No,"San Bernardino, CA",No,Yes,No,No,216088,68.2,33.4,37047,15.0,85.0
Yes,21,M,No,"Kansas, KS",No,Yes,Yes,No,152242,77.8,24.9,38749,26.8,73.2
Yes,30,M,No,"Kansas, KS",No,Yes,Yes,No,152242,77.8,24.9,38749,26.8,73.2
No,35,M,No,"Reading, PA",No,Yes,No,No,88103,65.1,39.6,26784,13.2,86.8
Yes,62,M,No,"Reading, PA",No,Yes,No,No,88103,65.1,39.6,26784,13.2,86.8
Yes,27,M,No,"McLemoresville, TN",No,Yes,No,No,331,85.3,26.8,41250,9.4,90.6
Yes,51,M,No,"Laredo, TX",No,Yes,No,No,257486,66.3,30.8,39711,0.5,99.5
Yes,30,M,No,"Laredo, TX",No,Yes,No,No,257486,66.3,30.8,39711,0.5,99.5
Yes,55,M,No,"Laredo, TX",No,Yes,No,No,257486,66.3,30.8,39711,0.5,99.5
No,25,M,Yes,"Miami Gardens, FL",Yes,Yes,No,No,111888,80.3,23.1,38253,76.3,23.700000000000003
Yes,24,M,Yes,"Miami Gardens, FL",No,Yes,Yes,No,111888,80.3,23.1,38253,76.3,23.700000000000003
Yes,34,M,No,"Iuka, MS",No,Yes,Yes,No,2966,68.8,20.9,31684,6.4,93.6
Yes,45,M,No,"Iuka, MS",Yes,Yes,No,No,2966,68.8,20.9,31684,6.4,93.6
Yes,56,M,No,"Marana, AZ",No,Yes,No,No,43466,94.1,5.8,74438,2.5,97.5
Yes,26,M,No,"Boise, ID",No,Yes,No,No,224367,94.3,14.3,50323,1.5,98.5
Yes,53,M,No,"Boise, ID",Yes,Yes,No,Yes,224367,94.3,14.3,50323,1.5,98.5
Yes,50,M,No,"Boise, ID",No,Yes,Yes,Yes,224367,94.3,14.3,50323,1.5,98.5
Yes,36,M,No,"Boise, ID",No,Yes,Yes,No,224367,94.3,14.3,50323,1.5,98.5
Yes,42,M,No,"Boise, ID",No,Yes,No,No,224367,94.3,14.3,50323,1.5,98.5
Yes,24,M,No,"Provo, UT",Yes,Yes,No,No,116269,90.5,28.8,41291,0.7,99.3
No,31,M,No,"Springfield, MO",No,Yes,Yes,No,166597,88.3,25.7,33557,4.1,95.9
Yes,30,M,No,"Springfield, MO",No,Yes,Yes,No,166597,88.3,25.7,33557,4.1,95.9
Yes,23,M,No,"Springfield, MO",No,Yes,No,No,166597,88.3,25.7,33557,4.1,95.9
Yes,44,M,Yes,"Springfield, MO",Yes,Yes,Yes,No,166597,88.3,25.7,33557,4.1,95.9
Yes,50,M,No,"Del Rio, TX",No,Yes,No,No,35892,66.2,21.4,41001,1.5,98.5
No,20,F,Yes,"Charlotte, NC",Yes,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,18,M,Yes,"Charlotte, NC",No,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,30,M,Yes,"Charlotte, NC",No,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,33,M,Yes,"Charlotte, NC",No,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,41,M,No,"Charlotte, NC",Yes,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,18,M,Yes,"Charlotte, NC",No,Yes,No,Yes,842929,88.4,16.8,53637,35.0,65.0
No,29,M,No,"Charlotte, NC",No,Yes,Yes,Yes,842929,88.4,16.8,53637,35.0,65.0
Yes,43,M,Yes,"Charlotte, NC",No,Yes,No,Yes,842929,88.4,16.8,53637,35.0,65.0
Yes,18,M,Yes,"Charlotte, NC",No,No,No,No,842929,88.4,16.8,53637,35.0,65.0
Yes,28,M,No,"Charlotte, NC",No,Yes,Yes,No,842929,88.4,16.8,53637,35.0,65.0
Yes,25,M,No,"Charlotte, NC",Yes,Yes,No,No,842929,88.4,16.8,53637,35.0,65.0
No,31,M,No,"Euless, TX",No,Yes,No,No,54765,90.3,12.2,54974,10.7,89.3
Yes,22,M,No,"Euless, TX",Yes,Yes,No,No,54765,90.3,12.2,54974,10.7,89.3
Yes,38,M,Yes,"Homewood, AL",No,Yes,No,No,25599,93.5,12.7,61626,17.3,82.7
Yes,40,F,No,"Homewood, AL",No,Yes,No,No,25599,93.5,12.7,61626,17.3,82.7
Yes,77,M,Yes,"Birmingham, AL",Yes,Yes,No,No,211923,85.1,30.9,31061,73.4,26.599999999999994
Yes,34,M,No,"Birmingham, AL",No,Yes,Yes,No,211923,85.1,30.9,31061,73.4,26.599999999999994
Yes,20,M,Yes,"Birmingham, AL",No,Yes,Yes,No,211923,85.1,30.9,31061,73.4,26.599999999999994
Yes,41,M,No,"Ruidoso, NM",No,Yes,No,No,7741,92.4,12.1,42098,0.4,99.6
Yes,27,M,No,"Ruidoso, NM",No,Yes,No,No,7741,92.4,12.1,42098,0.4,99.6
Yes,29,M,No,"Ruidoso, NM",No,Yes,No,No,7741,92.4,12.1,42098,0.4,99.6
Yes,50,M,No,"Palm Bay, FL",No,Yes,No,No,110222,87.6,17.6,43163,17.9,82.1
Yes,39,M,No,"Palm Bay, FL",Yes,Yes,No,No,110222,87.6,17.6,43163,17.9,82.1
Yes,43,M,Yes,"Palm Bay, FL",Yes,Yes,No,No,110222,87.6,17.6,43163,17.9,82.1
Yes,42,M,No,"Allentown, PA",No,Yes,Yes,No,120513,77.3,26.5,36930,12.5,87.5
Yes,43,M,No,"Allentown, PA",No,Yes,Yes,No,120513,77.3,26.5,36930,12.5,87.5
Yes,47,M,No,"Denham Springs, LA",Yes,Yes,No,No,10039,83.5,17.8,49498,14.9,85.1
Yes,37,M,No,"Powder Springs, GA",No,Yes,No,No,14897,88.1,18.7,55528,49.9,50.1
Yes,41,M,No,"Clarkesville, GA",No,Yes,Yes,No,1752,88.2,17.8,38558,4.8,95.2
Yes,16,M,Yes,"Millbrook, AL",No,Yes,No,No,15576,91.3,11.6,58330,21.6,78.4
Yes,30,M,No,"Green Bay, WI",Yes,Yes,No,No,104830,86.6,18.2,42826,3.5,96.5
Yes,43,M,No,"Las Vegas, NV",Yes,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,54,M,No,"Las Vegas, NV",Yes,Yes,No,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,36,M,Yes,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,24,M,No,"Las Vegas, NV",Yes,Yes,No,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,57,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,50,F,No,"Las Vegas, NV",Yes,Yes,Yes,No,626429,83.3,17.5,50202,11.1,88.9
Yes,55,M,No,"Las Vegas, NV",No,Yes,Yes,No,626429,83.3,17.5,50202,11.1,88.9
Yes,32,M,No,"Las Vegas, NV",Yes,Yes,Yes,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,48,F,No,"Las Vegas, NV",Yes,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,45,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
No,23,M,Yes,"Las Vegas, NV",No,Yes,No,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,31,M,Yes,"Las Vegas, NV",No,Yes,Yes,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,22,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
No,30,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,41,M,No,"Las Vegas, NV",No,Yes,Yes,No,626429,83.3,17.5,50202,11.1,88.9
Yes,50,M,No,"Las Vegas, NV",No,Yes,Yes,Yes,626429,83.3,17.5,50202,11.1,88.9
Yes,62,M,No,"Las Vegas, NV",Yes,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,27,M,No,"Las Vegas, NV",Yes,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,36,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,36,M,No,"Las Vegas, NV",No,Yes,No,No,626429,83.3,17.5,50202,11.1,88.9
Yes,27,M,No,"Las Vegas, NV",Yes,No,No,Yes,626429,83.3,17.5,50202,11.1,88.9
No,31,M,No,"Terre Haute, IN",No,Yes,No,No,60698,84.4,27.4,31817,10.9,89.1
Yes,42,M,No,"Lakeland, FL",No,Yes,Yes,No,105700,87.4,19.2,39706,20.9,79.1
Yes,32,M,No,"Lakeland, FL",No,Yes,No,No,105700,87.4,19.2,39706,20.9,79.1
Yes,53,M,No,"Lakeland, FL",No,Yes,No,No,105700,87.4,19.2,39706,20.9,79.1
No,49,M,No,"Gulfport, MS",No,Yes,No,No,71603,84.5,25.5,36474,36.1,63.9
Yes,34,F,No,"Sylvester, GA",No,Yes,Yes,No,5928,74.0,28.7,28414,59.6,40.4
No,27,M,No,"Santa Ana, CA",No,No,No,No,333270,54.8,22.1,52253,1.5,98.5
Yes,39,M,No,"Santa Ana, CA",No,Yes,No,No,333270,54.8,22.1,52253,1.5,98.5
No,30,M,No,"Santa Ana, CA",No,No,No,No,333270,54.8,22.1,52253,1.5,98.5
No,35,M,No,"Santa Ana, CA",No,No,No,No,333270,54.8,22.1,52253,1.5,98.5
No,32,M,No,"Santa Ana, CA",No,No,No,No,333270,54.8,22.1,52253,1.5,98.5
No,33,M,No,"Santa Ana, CA",No,No,No,No,333270,54.8,22.1,52253,1.5,98.5
No,18,M,No,"Santa Ana, CA",No,No,Yes,No,333270,54.8,22.1,52253,1.5,98.5
Yes,22,M,No,"Santa Ana, CA",No,Yes,No,No,333270,54.8,22.1,52253,1.5,98.5
Yes,24,M,No,"Pelzer, SC",No,Yes,No,No,1355,94.7,29.3,38750,2.2,97.8
Yes,28,F,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,29,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,40,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
No,36,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,33,M,No,"Tucson, AZ",Yes,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,33,M,Yes,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,30,M,No,"Tucson, AZ",Yes,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,31,M,No,"Tucson, AZ",No,Yes,Yes,No,538171,84.2,25.3,37149,5.0,95.0
No,25,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,29,M,No,"Tucson, AZ",No,Yes,Yes,No,538171,84.2,25.3,37149,5.0,95.0
No,26,M,No,"Tucson, AZ",No,Yes,No,Yes,538171,84.2,25.3,37149,5.0,95.0
Yes,36,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,26,M,No,"Tucson, AZ",No,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,34,M,No,"Tucson, AZ",Yes,Yes,No,No,538171,84.2,25.3,37149,5.0,95.0
Yes,28,M,Yes,"Columbia, MO",No,Yes,Yes,No,120119,93.8,24.4,44907,11.3,88.7
Yes,51,M,No,"Columbia, MO",No,Yes,Yes,Yes,120119,93.8,24.4,44907,11.3,88.7
Yes,41,M,Yes,"Columbia, MO",No,Yes,No,No,120119,93.8,24.4,44907,11.3,88.7
Yes,40,M,Yes,"Tarboro, NC",Yes,Yes,Yes,No,11014,75.0,17.0,33349,48.4,51.6
Yes,25,M,Yes,"Salisbury, MD",No,Yes,No,No,32551,85.6,27.4,37705,34.4,65.6
No,26,M,No,"Deltona, FL",No,Yes,No,No,89209,88.2,16.4,42077,10.9,89.1
Yes,39,M,No,"Deltona, FL",No,Yes,No,No,89209,88.2,16.4,42077,10.9,89.1
Yes,58,M,No,"Deltona, FL",Yes,Yes,No,No,89209,88.2,16.4,42077,10.9,89.1
Yes,37,M,No,"Deltona, FL",No,Yes,No,No,89209,88.2,16.4,42077,10.9,89.1
Yes,45,M,Yes,"Milwaukee, WI",Yes,Yes,No,No,597066,82.1,28.7,35958,40.0,60.0
Yes,38,M,Yes,"Milwaukee, WI",No,Yes,Yes,Yes,597066,82.1,28.7,35958,40.0,60.0
Yes,49,M,Yes,"Milwaukee, WI",No,Yes,No,No,597066,82.1,28.7,35958,40.0,60.0
Yes,23,M,Yes,"Milwaukee, WI",No,Yes,Yes,Yes,597066,82.1,28.7,35958,40.0,60.0
Yes,32,M,Yes,"Milwaukee, WI",No,Yes,No,No,597066,82.1,28.7,35958,40.0,60.0
