armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,42,M,No,"Salt Lake, UT",No,Yes,No,Yes,195925,87.4,20.3,47243,2.7,97.3
Yes,48,M,No,"Salt Lake, UT",No,Yes,No,No,195925,87.4,20.3,47243,2.7,97.3
Yes,31,M,No,"Salt Lake, UT",No,Yes,Yes,Yes,195925,87.4,20.3,47243,2.7,97.3
Yes,18,M,No,"Salt Lake, UT",No,Yes,Yes,No,195925,87.4,20.3,47243,2.7,97.3
No,36,M,Yes,"Strong, AR",No,Yes,No,No,523,74.4,23.0,19931,60.8,39.2
Yes,49,M,No,"Syracuse, UT",No,Yes,No,Yes,28300,97.5,3.0,86869,0.8,99.2
Yes,71,M,No,"England, AR",No,Yes,No,No,2755,82.3,29.9,31577,33.6,66.4
Yes,33,M,No,"El Paso, TX",No,Yes,No,No,679180,78.0,20.9,42772,3.4,96.6
Yes,22,M,No,"El Paso, TX",No,Yes,No,No,679180,78.0,20.9,42772,3.4,96.6
Yes,22,M,No,"El Paso, TX",Yes,No,No,No,679180,78.0,20.9,42772,3.4,96.6
Yes,22,M,Yes,"El Paso, TX",No,Yes,Yes,No,679180,78.0,20.9,42772,3.4,96.6
Yes,43,M,No,"El Paso, TX",No,Yes,No,No,679180,78.0,20.9,42772,3.4,96.6
No,22,M,No,"El Paso, TX",Yes,Yes,No,No,679180,78.0,20.9,42772,3.4,96.6
Yes,33,M,Yes,"El Paso, TX",No,Yes,No,No,679180,78.0,20.9,42772,3.4,96.6
Yes,39,M,No,"Arcola, IL",Yes,Yes,No,No,2875,82.6,14.8,49303,0.3,99.7
Yes,23,M,No,"South Gate, CA",No,Yes,No,No,95230,52.4,20.0,43552,0.9,99.1
Yes,41,M,No,"South Gate, CA",No,Yes,Yes,No,95230,52.4,20.0,43552,0.9,99.1
Yes,36,M,No,"South Gate, CA",No,Yes,Yes,No,95230,52.4,20.0,43552,0.9,99.1
Yes,29,M,No,"North Las Vegas, NV",No,Yes,Yes,No,236518,78.2,16.6,52511,19.9,80.1
Yes,25,M,Yes,"North Las Vegas, NV",No,Yes,Yes,No,236518,78.2,16.6,52511,19.9,80.1
Yes,26,M,No,"North Las Vegas, NV",No,Yes,No,No,236518,78.2,16.6,52511,19.9,80.1
Yes,34,M,No,"Albuquerque, NM",No,Yes,Yes,Yes,558934,89.0,19.2,47030,3.3,96.7
Yes,44,M,No,"Albuquerque, NM",No,Yes,No,No,558934,89.0,19.2,47030,3.3,96.7
Yes,33,M,No,"Albuquerque, NM",No,Yes,No,Yes,558934,89.0,19.2,47030,3.3,96.7
Yes,31,M,No,"Albuquerque, NM",No,Yes,Yes,No,558934,89.0,19.2,47030,3.3,96.7
Yes,19,M,No,"Albuquerque, NM",No,No,Yes,Yes,558934,89.0,19.2,47030,3.3,96.7
Yes,21,M,No,"Albuquerque, NM",Yes,Yes,Yes,Yes,558934,89.0,19.2,47030,3.3,96.7
Yes,23,M,No,"Albuquerque, NM",No,Yes,Yes,No,558934,89.0,19.2,47030,3.3,96.7
Yes,24,F,No,"Albuquerque, NM",Yes,Yes,Yes,No,558934,89.0,19.2,47030,3.3,96.7
Yes,31,M,No,"Albuquerque, NM",No,Yes,No,No,558934,89.0,19.2,47030,3.3,96.7
Yes,58,M,No,"Albuquerque, NM",No,Yes,No,Yes,558934,89.0,19.2,47030,3.3,96.7
Yes,21,M,No,"Albuquerque, NM",No,Yes,Yes,No,558934,89.0,19.2,47030,3.3,96.7
No,38,M,No,"Albuquerque, NM",No,Yes,No,No,558934,89.0,19.2,47030,3.3,96.7
Yes,28,M,No,"Albuquerque, NM",No,No,Yes,No,558934,89.0,19.2,47030,3.3,96.7
Yes,36,M,No,"Albuquerque, NM",No,Yes,Yes,No,558934,89.0,19.2,47030,3.3,96.7
Yes,43,M,No,"Jourdanton, TX",Yes,Yes,No,No,4242,75.8,10.7,54375,0.5,99.5
Yes,24,M,Yes,"St. Paul, MN",No,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
Yes,28,M,No,"St. Paul, MN",Yes,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
