@relation 'dataset-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,4-weka.filters.supervised.instance.SpreadSubsample-M0.0-X900.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-8'

@attribute age numeric
@attribute population numeric
@attribute percent_completed_hs numeric
@attribute poverty_rate numeric
@attribute median_income numeric
@attribute share_black numeric
@attribute share_not_black numeric
@attribute is_black {No,Yes}

@data
26,89209,88.2,16.4,42077,10.9,89.1,No
33,83318,79,18.6,55100,9.3,90.7,No
40,4864,89.2,18,50675,0.6,99.4,No
32,105700,87.4,19.2,39706,20.9,79.1,No
36,36453,91,15.7,50280,3.1,96.9,No
29,22023,79.9,25.5,46467,1.2,98.8,No
36,640670,91.3,18,55003,6.3,93.7,No
63,13362,84.6,24.5,34387,1.3,98.7,No
54,198247,86.3,26.5,34512,31.5,68.5,No
36,38476,71.2,28.3,40706,15.2,84.8,No
44,2026,93.6,8.6,57880,0.2,99.8,No
37,3894,84.5,16.3,45452,14.1,85.9,No
19,11801,84.6,9.6,41875,0,100,No
25,245560,87,21,44480,43.1,56.9,No
39,51344,83.3,18.2,53712,5.9,94.1,No
25,8538,72.1,30.2,33359,1.5,98.5,No
43,679180,78,20.9,42772,3.4,96.6,No
65,13451,79.8,13.1,48884,9.4,90.6,No
28,558934,89,19.2,47030,3.3,96.7,No
49,5687,81.2,31.1,36667,0.6,99.4,No
39,89209,88.2,16.4,42077,10.9,89.1,No
41,95230,52.4,20,43552,0.9,99.1,No
33,9676,91.8,11.7,61541,1.4,98.6,No
31,7547,84.4,34.3,28333,0.7,99.3,No
61,312292,84.1,27.1,35599,49.2,50.8,No
19,33419,76,22.6,41117,2.6,97.4,No
21,72532,81.2,17.5,51401,1.7,98.3,No
18,867846,88.5,21.7,45659,28,72,No
53,9945,80.1,28.6,37072,0.8,99.2,No
43,3984,68.1,34.3,32182,8,92,No
23,11560,64.5,19.7,51450,2.4,97.6,No
34,1487680,81.4,19.8,46744,6.9,93.1,No
35,307284,74.9,25.3,44797,12.2,87.8,No
36,104248,88.7,11,66076,2.5,97.5,No
45,374662,79.6,19.8,57095,8.2,91.8,No
25,67173,81.3,18,48658,7.7,92.3,No
37,110963,86.9,15.4,64329,17.3,82.7,No
50,22882,95.4,14.9,81970,20.2,79.8,No
35,69041,86.4,32.2,31044,10.9,89.1,No
76,54249,86.8,16.8,47668,1.9,98.1,No
46,3959194,75.5,22.1,50205,9.6,90.4,No
42,72293,86,20.6,47938,9.1,90.9,No
62,9888,92.2,12.7,55648,0.5,99.5,No
28,183261,91.7,21.6,49012,5.9,94.1,No
47,723,78.6,20.2,35125,3.4,96.6,No
28,25221,80.3,31.4,26268,9.7,90.3,No
18,195925,87.4,20.3,47243,2.7,97.3,No
30,20494,81.2,14.9,47611,18.5,81.5,No
28,302592,86.5,22.3,48757,15.7,84.3,No
26,236518,78.2,16.6,52511,19.9,80.1,No
38,44053,76.5,37.3,29025,28,72,No
50,117333,76.4,12.1,59337,5.7,94.3,No
29,3959194,75.5,22.1,50205,9.6,90.4,No
45,19443,86.9,17.1,42644,5.6,94.4,No
23,29342,95.5,5.8,69018,0.6,99.4,No
37,66378,96.4,7,82265,5.6,94.4,No
30,83529,85.7,17.6,50737,1,99,No
37,46925,93,9.1,55221,3.5,96.5,No
45,626,67.1,39.6,17438,0.3,99.7,No
43,1609816,80.7,23.1,47326,6.5,93.5,No
36,29684,89.3,10.6,57257,2.4,97.6,No
39,1609816,80.7,23.1,47326,6.5,93.5,No
32,2304401,76.7,22.5,46187,23.7,76.3,No
29,144629,7.9,26.9,51177,0,100,No
36,35028,84.7,27.9,37049,74.6,25.4,No
20,23777,58.6,28.6,36860,0.7,99.3,No
45,11652,88.8,22.7,44086,6.3,93.7,No
46,74241,91.7,15.2,46966,1.1,98.9,No
31,90500,95.2,12.5,52989,0.5,99.5,No
24,588,82.8,21.4,31750,15.3,84.7,No
24,93459,77.2,24.8,44874,5.8,94.2,No
18,104097,85.3,19.8,44543,12.7,87.3,No
46,7088,88.7,16.9,44490,0.9,99.1,No
29,7741,92.4,12.1,42098,0.4,99.6,No
26,4929,79.2,24.3,27320,5.6,94.4,No
42,494346,83.4,22,50739,14.6,85.4,No
35,45547,90.2,18.8,40830,13.5,86.5,No
45,300258,85.8,30.5,33604,44.8,55.2,No
24,2717379,82.3,22.3,48522,32.9,67.1,No
24,83529,85.7,17.6,50737,1,99,No
37,145905,71.4,29.1,32915,31.7,68.3,No
42,45161,86.8,11.8,64830,6.2,93.8,No
54,9086,79.1,26.3,31576,35.3,64.7,No
28,842929,88.4,16.8,53637,35,65,No
39,67818,95.5,3.6,117855,1.3,98.7,No
41,3344,77.3,26.5,30218,42.2,57.8,No
36,10062,98.1,28.2,52656,0.9,99.1,No
42,59174,82.4,29,32066,18.1,81.9,No
21,112788,91,9,67081,1.4,98.6,No
26,78693,71.7,23.3,42319,1.8,98.2,No
35,86366,82.3,22.9,41036,2.2,97.8,No
21,31789,91.2,13.1,55229,9,91,No
53,8525,81.5,29.2,31997,40.5,59.5,No
40,638306,85,18.3,47779,15.1,84.9,No
36,10062,95.5,5,66828,0.9,99.1,No
51,446835,73.2,28.3,31051,19.2,80.8,No
41,93386,79.9,20.2,47429,12.8,87.2,No
25,1609816,80.7,23.1,47326,6.5,93.5,No
46,3172,79.1,32.3,24296,23.3,76.7,No
49,6135,85,17.3,39625,9.4,90.6,No
35,88103,65.1,39.6,26784,13.2,86.8,No
28,86994,92.7,23,43536,1.3,98.7,No
34,48221,80.3,22.1,39975,2.5,97.5,No
73,6075,92.2,19,36338,0.5,99.5,No
54,198744,83.4,17,47735,6.6,93.4,No
33,65305,84.3,22.8,40755,20.2,79.8,No
49,71603,84.5,25.5,36474,36.1,63.9,No
36,10062,98.1,5,52656,0.9,99.1,No
21,11801,84.6,9.6,36440,0,100,No
29,200625,92.4,9.4,83252,1,99,No
32,626429,83.3,17.5,50202,11.1,88.9,No
58,7767,89.9,12.7,39659,11,89,No
36,104248,88.7,11,65472,2.7,97.3,No
34,84078,79.5,26,33989,6.4,93.6,No
49,166076,93.5,24.4,43101,1.4,98.6,No
24,870854,87,13.2,81294,6.1,93.9,No
19,11801,84.9,9.6,36440,0.8,99.2,No
60,70903,83.2,24.5,40465,58,42,No
25,84981,80.7,15.8,53582,1.5,98.5,No
24,216088,68.2,33.4,37047,15,85,No
57,30564,89.5,16.2,55502,28.5,71.5,No
25,363650,86.5,15.3,53011,15.7,84.3,No
45,8630,82.3,28.5,29602,1.6,98.4,No
29,1487680,81.4,19.8,46744,6.9,93.1,No
40,246807,96.2,9.5,73288,1.7,98.3,No
48,61317,93.9,11.2,63649,10,90,No
29,144629,7.9,15.4,49604,21.8,78.2,No
39,20162,76.3,16.6,47791,0.9,99.1,No
31,7131,88.6,16,44977,0.2,99.8,No
36,245560,87,21,44480,43.1,56.9,No
31,58423,86.1,22.6,35924,20.9,79.1,No
29,144629,80.7,15.4,49604,0,100,No
25,83219,71.9,26,41818,0.7,99.3,No
47,86544,83.3,12.5,66457,1.3,98.7,No
24,100370,76.9,17.8,50601,3.3,96.7,No
30,1400678,87.3,15.4,66116,6.7,93.3,No
29,16853,94.2,3.3,91393,5.9,94.1,No
33,38657,91.1,7.1,65294,0.4,99.6,No
60,1487680,81.4,19.8,46744,6.9,93.1,No
45,2966,68.8,20.9,31684,6.4,93.6,No
61,4535,86.2,25.5,44246,1,99,No
45,33660,79.9,20.9,47052,24.4,75.6,No
36,1487680,81.4,19.8,46744,6.9,93.1,No
40,8690,76.8,16.9,39823,19.1,80.9,No
40,1681,88.6,3.4,87258,3.1,96.9,No
31,75680,84,14.9,46849,7.2,92.8,No
35,39959,56.6,27.4,34742,0.3,99.7,No
36,37719,88.3,16,50554,5.5,94.5,No
34,109718,81.8,22.7,39543,47.2,52.8,No
28,106772,96.3,23.1,58484,0.9,99.1,No
36,1789,79,30.3,31607,18.5,81.5,No
28,29229,88.3,16.3,44568,11.6,88.4,No
36,104248,85,11,65472,2.5,97.5,No
24,44303,82.8,20.2,45357,25.6,74.4,No
50,104431,83.6,20.2,48813,1.7,98.3,No
36,640670,91.3,18,55003,6.3,93.7,No
26,224367,94.3,14.3,50323,1.5,98.5,No
29,538171,84.2,25.3,37149,5,95,No
21,11801,84.9,9.6,36440,0.8,99.2,No
20,1407,80.5,8,55161,1.5,98.5,No
33,48221,80.3,22.1,39975,2.5,97.5,No
30,5594,88.8,18.5,28509,0.2,99.8,No
38,1036,73,39.7,30684,13,87,No
22,118763,84.9,21.8,40992,47.3,52.7,No
27,20024,85.1,29,34300,41.3,58.7,No
52,640670,91.3,18,55003,6.3,93.7,No
24,280518,72.3,29.7,33139,52.4,47.6,No
28,307284,74.9,25.3,44797,12.2,87.8,No
44,97142,90.3,15.4,56882,2.6,97.4,No
49,38190,72.7,16.5,56905,6.1,93.9,No
46,37204,89.2,21.2,34224,0.5,99.5,No
24,246807,96.2,9.5,73288,1.7,98.3,No
46,215050,91.6,19.9,42386,2.3,97.7,No
48,16086,93.2,15.8,50972,0.7,99.3,No
37,5355,88.4,27.6,41991,1.3,98.7,No
18,18368,91.7,8,55218,1.3,98.7,No
28,153686,91.5,11.9,56954,1.6,98.4,No
32,47008,91.7,8.1,65793,9.7,90.3,No
24,558934,89,19.2,47030,3.3,96.7,No
56,31237,87.4,20.6,39382,17.1,82.9,No
63,28631,87.7,15.4,54283,55.7,44.3,No
21,312292,84.1,27.1,35599,49.2,50.8,No
31,1040,88.3,14.6,68882,0.7,99.3,No
26,1609816,80.7,23.1,47326,6.5,93.5,No
36,10062,95.5,5,66828,4.4,95.6,No
53,74241,91.7,15.2,46966,1.1,98.9,No
59,16348,88.2,12.7,46728,0.8,99.2,No
31,54765,90.3,12.2,54974,10.7,89.3,No
49,29684,89.3,10.6,57257,2.4,97.6,No
51,640670,91.3,18,55003,6.3,93.7,No
33,538171,84.2,25.3,37149,5,95,No
23,224485,83.2,25.5,40758,50.6,49.4,No
38,5100,84.8,20.1,34844,0.7,99.3,No
35,198744,83.4,17,47735,6.6,93.4,No
29,84078,79.5,26,33989,6.4,93.6,No
22,6676,72.1,29.7,30992,77.5,22.5,No
52,91230,90.6,18.8,43341,1.2,98.8,No
25,10655,90.5,15.2,39698,0.6,99.4,No
36,10062,95.5,28.2,52656,0.9,99.1,No
27,84078,79.5,26,33989,6.4,93.6,No
24,68251,88.4,16.7,47342,25.6,74.4,No
33,31758,90.7,9,74159,1.7,98.3,No
49,245597,83.6,21.7,46776,6,94,No
29,144629,80.7,15.4,49604,21.8,78.2,No
37,46925,93,8.9,72399,1.5,98.5,No
41,25008,85.4,15.9,42268,3,97,No
35,406,95.9,8.2,51250,0,100,No
30,109672,92.8,12.8,51012,0.8,99.2,No
53,224367,94.3,14.3,50323,1.5,98.5,No
52,5001,72.8,22.8,34846,40.9,59.1,No
29,879460,88.2,17.7,46764,30.7,69.3,No
47,374662,79.6,19.8,57095,8.2,91.8,No
37,21362,83.5,11.7,51375,12.6,87.4,No
36,1487680,81.4,19.8,46744,6.9,93.1,No
37,15757,90.1,13.9,47936,0.5,99.5,No
37,59649,88.1,20.7,44902,11.8,88.2,No
40,521667,75.2,29.8,41531,8.3,91.7,No
21,11801,84.9,19.9,41875,0.8,99.2,No
43,12699,92.9,7.8,54406,2.3,97.7,No
36,7033,84.2,17.2,47378,55.4,44.6,No
64,19006,83.4,16.9,43395,1.9,98.1,No
55,11064,76,19.8,50225,2.3,97.7,No
48,8828,80.4,21.1,37485,7.8,92.2,No
25,5904,76.6,31.6,30856,6.3,93.7,No
27,58933,91.8,10.5,57790,1,99,No
39,1417,93.2,5.7,56983,0.1,99.9,No
26,1609816,80.7,23.1,47326,6.5,93.5,No
37,35748,47.4,27.7,37269,0.9,99.1,No
23,694802,86.1,17.3,53637,10.2,89.8,No
27,626429,83.3,17.5,50202,11.1,88.9,No
29,374662,79.6,19.8,57095,8.2,91.8,No
24,80151,83.5,13.6,71897,2.3,97.7,No
43,66305,78.3,18.5,50649,2.5,97.5,No
35,2304401,76.7,22.5,46187,23.7,76.3,No
36,14267,66.3,33.1,25844,1.5,98.5,No
35,937371,87.5,18,57689,8.1,91.9,No
31,29100,87,20.7,43246,1,99,No
45,56372,90.2,8.1,82367,0.9,99.1,No
22,47671,93.6,9.9,59407,5.4,94.6,No
20,1938,88.8,14.3,30697,0.1,99.9,No
70,27409,92.5,11.7,66384,1.2,98.8,No
63,6218,77.2,23,31875,8.3,91.7,No
56,12680,75.6,22,41705,9,91,No
36,80600,89.2,15.9,40219,0.2,99.8,No
45,37136,87.2,21.2,37190,22,78,No
45,159627,81.4,23.5,47225,20.5,79.5,No
36,56327,91.5,13.7,54176,1.7,98.3,No
23,46179,87.7,7.9,86757,4.7,95.3,No
62,16542,89.2,19.9,39182,4.8,95.2,No
19,163179,96,18.6,55647,1.2,98.8,No
26,12032,85.9,9.1,55830,0.7,99.3,No
44,708559,93.4,13.5,70594,7.9,92.1,No
72,403186,86.9,20.2,42284,15.9,84.1,No
37,8792,91.2,14.2,33950,0.3,99.7,No
59,12092,92.6,16.4,55168,29.9,70.1,No
42,77391,92.1,8.8,22361,0.9,99.1,No
44,6156,81.1,20.7,43491,2.9,97.1,No
29,6500,77.4,25.9,34695,16.7,83.3,No
36,10062,95.5,5,52656,0.9,99.1,No
23,14016,72.3,36,25181,49.5,50.5,No
38,42785,91.1,13.4,46499,2.5,97.5,No
39,1183,75.2,36.3,24659,33.2,66.8,No
45,31237,87.4,20.6,39382,17.1,82.9,No
43,14413,58.8,30.7,37571,3.8,96.2,No
36,90024,97.4,3.2,95487,5.6,94.4,No
50,21143,74.1,34.8,31245,37.2,62.8,No
32,69209,97.3,5.9,82120,1.6,98.4,No
52,1435,85.8,14,37137,0.2,99.8,No
32,33916,88.1,16.5,47046,2.2,97.8,No
50,93294,73.3,23,40726,1.7,98.3,No
32,18273,92.9,13.2,57417,0.6,99.4,No
38,40162,95.2,7,80978,15.3,84.7,No
18,112788,91,9,67081,1.4,98.6,No
46,380945,86.6,21.8,44185,26.2,73.8,No
17,245597,83.6,21.7,46776,6,94,No
55,521667,75.2,29.8,41531,8.3,91.7,No
21,11801,84.9,19.9,36440,0.8,99.2,No
22,10293,90.1,11.9,41040,0.5,99.5,No
42,77391,78,8.8,70323,0.9,99.1,No
52,3414,80.5,27.1,35950,0.5,99.5,No
24,91069,95.9,10.1,71974,5.5,94.5,No
22,1029519,82.7,11.3,84647,3.2,96.8,No
59,269,70.3,25.3,25781,0,100,No
59,1322575,74.5,24,43781,25,75,No
25,725,87.8,17.4,45852,0,100,No
28,152797,91.4,7.5,105401,2,98,No
41,2299,77.6,28.3,40547,20.3,79.7,No
40,90621,87.2,17.7,44342,4.4,95.6,No
42,120513,77.3,26.5,36930,12.5,87.5,No
43,850,87.2,43.7,24821,0.1,99.9,No
36,1609816,80.7,23.1,47326,6.5,93.5,No
49,112788,91,9,67081,1.4,98.6,No
34,1609816,80.7,23.1,47326,6.5,93.5,No
36,4864,89.2,18,50675,0.6,99.4,No
18,88184,73.7,19.5,50525,2.4,97.6,No
53,21297,94.4,3.8,67422,3,97,No
33,694802,86.1,17.3,53637,10.2,89.8,No
36,9927,62.5,31,26897,18.8,81.2,No
46,27432,86.8,4.1,85291,0.8,99.2,No
31,2998,91.8,10.3,41912,0.3,99.7,No
56,8255,81.1,22.9,31684,47.9,52.1,No
62,1500,70.5,33.1,19403,8.3,91.7,No
24,49661,77.7,17.6,53135,3.2,96.8,No
50,626429,83.3,17.5,50202,11.1,88.9,No
21,1594,85.2,13.4,58906,2.5,97.5,No
60,9146,80.5,30.1,29974,51.3,48.7,No
41,112861,76.1,11.4,62897,3.9,96.1,No
22,33499,86.3,23.1,41618,7.7,92.3,No
42,77391,78,8.8,22361,0.9,99.1,No
41,1487680,81.4,19.8,46744,6.9,93.1,No
30,245560,87,21,44480,43.1,56.9,No
44,10650,83.1,15.2,44534,4.2,95.8,No
34,6310,81.1,28.1,37819,17.6,82.4,No
29,144629,7.9,26.9,49604,0,100,No
40,52696,98,4.2,100469,1.5,98.5,No
50,415678,88.6,21.9,51480,18.6,81.4,No
36,80600,89.2,15.9,40219,10.3,89.7,No
21,11801,84.9,9.6,41875,0,100,No
34,25123,89.7,19.6,39586,7.2,92.8,No
36,6218,77.2,23,31875,8.3,91.7,No
36,694802,86.1,17.3,53637,10.2,89.8,No
51,27997,92.2,5.3,74881,3.6,96.4,No
30,128977,87.1,13.3,68318,3.6,96.4,No
47,403186,86.9,20.2,42284,15.9,84.1,No
18,333270,54.8,22.1,52253,1.5,98.5,No
38,558934,89,19.2,47030,3.3,96.7,No
30,855447,80.8,18.8,53214,18.9,81.1,No
45,42112,92.8,15.5,44846,0.7,99.3,No
42,224367,94.3,14.3,50323,1.5,98.5,No
32,216088,68.2,33.4,37047,15,85,No
61,937371,87.5,18,57689,8.1,91.9,No
55,31665,85.7,23.7,36514,13.9,86.1,No
18,481691,88.4,19,45821,29.9,70.1,No
34,24106,98.4,5.4,101689,0.4,99.6,No
23,381,79.6,30.8,40625,3.9,96.1,No
47,12244,81.8,10.9,50701,1.2,98.8,No
31,13591,81.9,23.7,30217,3.1,96.9,No
33,457818,93.1,13.4,54527,6.3,93.7,No
56,24633,58.5,18.9,55170,0.9,99.1,No
25,307284,74.9,25.3,44797,12.2,87.8,No
20,7814,78.4,20.9,37995,5.3,94.7,No
17,81358,83.5,17.9,44544,22.9,77.1,No
38,36003,92.6,11.6,62858,0.6,99.4,No
20,468498,79.4,20.6,52783,13.5,86.5,No
58,558934,89,19.2,47030,3.3,96.7,No
22,18467,86.1,5.8,72659,4.8,95.2,No
43,109718,81.8,22.7,39543,47.2,52.8,No
45,13043,85.6,24.4,35825,12.4,87.6,No
48,11691,94.1,3.4,93000,13.8,86.2,No
36,58703,41.4,29.6,34887,0.8,99.2,No
19,11801,84.9,9.6,41875,0,100,No
48,109672,92.8,12.8,51012,0.8,99.2,No
33,39206,88.7,25.9,40107,12.8,87.2,No
29,8024,82.2,27.3,30392,18,82,No
25,390069,87.5,17.3,45947,11.5,88.5,No
23,118763,84.9,21.8,40992,47.3,52.7,No
46,2304401,76.7,22.5,46187,23.7,76.3,No
54,677061,78.3,40.3,25764,82.7,17.3,No
31,24389,86.7,18.3,41061,3.2,96.8,No
66,6784,75.8,29,27910,3.1,96.9,No
39,9002,88.3,15.7,56838,1.1,98.9,No
57,626429,83.3,17.5,50202,11.1,88.9,No
37,1487680,81.4,19.8,46744,6.9,93.1,No
60,1523,87.4,34.2,29963,0.5,99.5,No
37,172702,70.6,18.1,54114,6.4,93.6,No
76,18614,94.4,4.6,71194,13.4,86.6,No
21,245597,83.6,21.7,46776,6,94,No
40,9084,73,27.8,35163,1.6,98.4,No
52,4864,89.2,18,50675,0.6,99.4,No
40,314,73.6,53.1,22083,0,100,No
27,937371,87.5,18,57689,8.1,91.9,No
38,2278,90.2,14.8,50438,0.4,99.6,No
19,5765,92.8,11.1,67484,0.7,99.3,No
24,85412,93.1,8.9,64540,7.2,92.8,No
36,104248,88.7,12.1,66076,2.5,97.5,No
59,75093,83.2,20.8,40432,27.8,72.2,No
24,248374,91.5,10,72695,4.8,95.2,No
26,390069,87.5,17.3,45947,11.5,88.5,No
25,638306,85,18.3,47779,15.1,84.9,Yes
24,126387,91.9,8.4,98914,2.7,97.3,Yes
24,458264,90.5,16,55398,29.3,70.7,Yes
22,879460,88.2,17.7,46764,30.7,69.3,Yes
32,8456560,80.3,20.6,53373,25.5,74.5,Yes
20,303402,91.4,22.9,40715,26.1,73.9,Yes
25,2717379,82.3,22.3,48522,32.9,67.1,Yes
18,2304401,76.7,22.5,46187,23.7,76.3,Yes
21,4315,92.3,21.4,49013,0.4,99.6,Yes
32,597066,82.1,28.7,35958,40,60,Yes
27,38257,87.2,23.3,41487,36.8,63.2,Yes
21,37900,87.5,22.6,50052,30.2,69.8,Yes
36,2326,76.1,21.9,35441,15.8,84.2,Yes
55,74033,79.9,33.8,29676,71.6,28.4,Yes
27,29927,93,35.1,35619,9.6,90.4,Yes
50,54536,80.1,15.6,66053,3.1,96.9,Yes
18,842929,88.4,16.8,53637,35,65,Yes
31,110290,72.5,22.4,42044,43.9,56.1,Yes
43,3959194,75.5,22.1,50205,9.6,90.4,Yes
32,209917,91.2,18.4,43630,41.9,58.1,Yes
46,677061,78.3,40.3,25764,82.7,17.3,Yes
37,87554,73.8,20.1,44504,27.7,72.3,Yes
57,2304401,76.7,22.5,46187,23.7,76.3,Yes
24,177892,85.2,22.6,40177,34.9,65.1,Yes
46,10446,91.8,10.6,48272,44.9,55.1,Yes
39,616410,82.5,23.7,42241,63.7,36.3,Yes
37,300258,85.8,30.5,33604,44.8,55.2,Yes
23,879460,88.2,17.7,46764,30.7,69.3,Yes
24,937371,87.5,18,57689,8.1,91.9,Yes
22,380945,86.6,21.8,44185,26.2,73.8,Yes
25,2142,82.3,14.9,37250,32,68,Yes
25,91158,91.6,32.5,34435,37,63,Yes
50,109718,81.8,22.7,39543,47.2,52.8,Yes
25,183445,87.2,15,49813,16.3,83.7,Yes
18,280518,72.3,29.7,33139,52.4,47.6,Yes
19,312292,84.1,27.1,35599,49.2,50.8,Yes
36,92832,96.3,10.7,60819,20.3,79.7,Yes
20,8002,84.1,16.9,43819,0.9,99.1,Yes
34,10580,88.5,11.8,53169,9.9,90.1,Yes
22,391026,85.2,27,36792,60.2,39.8,Yes
46,226101,86.7,25.6,39876,54.5,45.5,Yes
28,3959194,75.5,22.1,50205,9.6,90.4,Yes
37,391026,85.2,27,36792,60.2,39.8,Yes
51,152440,67.5,22.1,49186,7.3,92.7,Yes
18,3959194,75.5,22.1,50205,9.6,90.4,Yes
67,18157,83.9,23,41112,7.1,92.9,Yes
48,226101,86.7,25.6,39876,54.5,45.5,Yes
18,2717379,82.3,22.3,48522,32.9,67.1,Yes
43,245560,87,21,44480,43.1,56.9,Yes
29,178690,85.9,20.7,50778,31,69,Yes
23,312292,84.1,27.1,35599,49.2,50.8,Yes
40,494346,83.4,22,50739,14.6,85.4,Yes
23,2717379,82.3,22.3,48522,32.9,67.1,Yes
57,879460,88.2,17.7,46764,30.7,69.3,Yes
19,677061,78.3,40.3,25764,82.7,17.3,Yes
28,44053,76.5,37.3,29025,28,72,Yes
26,616410,82.5,23.7,42241,63.7,36.3,Yes
45,597066,82.1,28.7,35958,40,60,Yes
21,264663,87.1,19.2,50420,41,59,Yes
56,200502,85.5,24.1,42927,56.6,43.4,Yes
40,26390,78.3,28.7,34055,31.9,68.1,Yes
23,24749,61.5,32,36208,35.5,64.5,Yes
43,349580,75.8,16.5,60752,2.8,97.2,Yes
19,652511,83.7,27.6,36445,63.3,36.7,Yes
13,867846,88.5,21.7,45659,28,72,Yes
23,280518,72.3,29.7,33139,52.4,47.6,Yes
25,277034,89.5,20.2,42318,28.1,71.9,Yes
20,211923,85.1,30.9,31061,73.4,26.6,Yes
23,47466,88.7,20.9,35487,52.6,47.4,Yes
29,1752,74.5,31.1,35542,0.6,99.4,Yes
31,54834,75,20.7,53851,11.1,88.9,Yes
52,55459,71.9,27.3,32863,40.7,59.3,Yes
27,47447,81.7,25.8,34579,57.3,42.7,Yes
36,41930,92.6,18.2,43318,25.4,74.6,Yes
34,140680,82.1,35.5,27683,42.9,57.1,Yes
37,15658,85,17.5,53851,15.1,84.9,Yes
20,224485,83.2,25.5,40758,50.6,49.4,Yes
33,538171,84.2,25.3,37149,5,95,Yes
25,479716,89,24.6,47527,54,46,Yes
49,597066,82.1,28.7,35958,40,60,Yes
22,446835,73.2,28.3,31051,19.2,80.8,Yes
15,312292,84.1,27.1,35599,49.2,50.8,Yes
37,2304401,76.7,22.5,46187,23.7,76.3,Yes
20,867846,88.5,21.7,45659,28,72,Yes
36,31351,85.3,13.7,58057,9.1,90.9,Yes
18,616410,82.5,23.7,42241,63.7,36.3,Yes
24,458264,90.5,16,55398,29.3,70.7,Yes
27,481691,88.4,19,45821,29.9,70.1,Yes
37,2717379,82.3,22.3,48522,32.9,67.1,Yes
19,708559,93.4,13.5,70594,7.9,92.1,Yes
36,92832,96.3,10.7,66647,0.6,99.4,Yes
25,91666,92,24.9,42342,2.1,97.9,Yes
23,277034,89.5,20.2,42318,28.1,71.9,Yes
33,93386,79.9,20.2,47429,12.8,87.2,Yes
28,446835,73.2,28.3,31051,19.2,80.8,Yes
22,638306,85,18.3,47779,15.1,84.9,Yes
21,312292,84.1,27.1,35599,49.2,50.8,Yes
40,11014,75,17,33349,48.4,51.6,Yes
29,226101,86.7,25.6,39876,54.5,45.5,Yes
31,140445,84.2,13.2,78513,1.6,98.4,Yes
27,36542,84.8,21,36698,46.6,53.4,Yes
22,479716,89,24.6,47527,54,46,Yes
35,90748,92.3,17.3,43334,13.4,86.6,Yes
29,2586,69.1,29.1,25615,41.4,58.6,Yes
74,75093,83.2,20.8,40432,27.8,72.2,Yes
17,21966,90.9,9.8,70176,4.3,95.7,Yes
30,237266,76.3,17.2,51970,14.5,85.5,Yes
25,2304401,76.7,22.5,46187,23.7,76.3,Yes
19,2717379,82.3,22.3,48522,32.9,67.1,Yes
35,307284,74.9,25.3,44797,12.2,87.8,Yes
37,226101,86.7,25.6,39876,54.5,45.5,Yes
41,2304401,76.7,22.5,46187,23.7,76.3,Yes
34,135244,84.1,19.7,43523,13.5,86.5,Yes
28,9904,70.5,50.3,18085,89.2,10.8,Yes
34,264663,87.1,19.2,50420,41,59,Yes
21,44871,76.1,36.6,25635,40.9,59.1,Yes
25,245560,87,21,44480,43.1,56.9,Yes
52,66405,87.7,19.3,41924,30,70,Yes
45,233236,92.3,6.1,105355,3.3,96.7,Yes
50,312292,84.1,27.1,35599,49.2,50.8,Yes
37,10616,91.7,17.7,42595,5.5,94.5,Yes
24,638306,85,18.3,47779,15.1,84.9,Yes
40,35743,77.2,23.7,39890,27.4,72.6,Yes
28,189723,92.5,29.7,39681,35,65,Yes
28,71020,52.8,25.3,43109,10.3,89.7,Yes
54,53295,88.4,11.4,58227,22.2,77.8,Yes
48,32571,88.7,19.1,47707,55.9,44.1,Yes
31,446835,73.2,28.3,31051,19.2,80.8,Yes
22,300258,85.8,30.5,33604,44.8,55.2,Yes
25,145594,86,26.5,36466,55.4,44.6,Yes
36,47447,81.7,25.8,34579,57.3,42.7,Yes
31,226101,86.7,25.6,39876,54.5,45.5,Yes
16,130992,92.1,35.6,31818,23,77,Yes
27,1575906,82,26.4,38253,43.4,56.6,Yes
31,264663,87.1,19.2,50420,41,59,Yes
33,1487680,81.4,19.8,46744,6.9,93.1,Yes
27,1493,79.7,20.5,45741,21.8,78.2,Yes
36,92832,93.3,4.9,60819,20.3,79.7,Yes
29,870854,87,13.2,81294,6.1,93.9,Yes
63,312292,84.1,27.1,35599,49.2,50.8,Yes
24,111888,80.3,23.1,38253,76.3,23.7,Yes
30,867846,88.5,21.7,45659,28,72,Yes
20,842929,88.4,16.8,53637,35,65,Yes
20,677061,78.3,40.3,25764,82.7,17.3,Yes
31,95083,81,28.9,47375,4,96,Yes
30,18068,83.1,29.3,30517,31.3,68.7,Yes
37,481691,88.4,19,45821,29.9,70.1,Yes
26,237573,91.1,9.7,68620,29.8,70.2,Yes
19,4513,79.7,13,75788,91.3,8.7,Yes
32,652511,83.7,27.6,36445,63.3,36.7,Yes
57,303402,91.4,22.9,40715,26.1,73.9,Yes
19,393428,84.7,17.5,53326,18.8,81.2,Yes
33,679376,85.2,21.5,55777,24.4,75.6,Yes
39,2876,83.2,30,30781,7,93,Yes
25,245560,87,21,44480,43.1,56.9,Yes
37,38257,87.2,23.3,41487,36.8,63.2,Yes
43,110222,87.6,17.6,43163,17.9,82.1,Yes
