@relation 'dataset-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,4-weka.filters.supervised.instance.SpreadSubsample-M0.0-X900.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-8'

@attribute age numeric
@attribute population numeric
@attribute percent_completed_hs numeric
@attribute poverty_rate numeric
@attribute median_income numeric
@attribute share_black numeric
@attribute share_not_black numeric
@attribute is_black {No,Yes}

@data
59,30095,91.7,17.1,64494,20,80,No
45,2792,87.4,14.7,55893,0.7,99.3,No
43,3513,83.7,24.8,40758,2.3,97.7,No
32,64431,92.8,23.8,62164,1.8,98.2,No
47,6444,91.2,9.2,60060,0.3,99.7,No
37,106772,96.3,23.1,58484,0.9,99.1,No
20,3456,79.5,21.6,31226,14.6,85.4,No
31,80785,87.9,7.9,79193,8.7,91.3,No
36,73055,87.9,17.9,47475,16.9,83.1,No
24,1571,88.3,24.5,24770,1.9,98.1,No
31,1609816,80.7,23.1,47326,6.5,93.5,No
33,312292,84.1,27.1,35599,49.2,50.8,No
31,84078,79.5,26,33989,6.4,93.6,No
16,521667,75.2,29.8,41531,8.3,91.7,No
22,54765,90.3,12.2,54974,10.7,89.3,No
29,144629,7.9,15.4,51177,0,100,No
56,42409,89,24.8,44671,3.9,96.1,No
50,178463,89.7,14.8,50626,2.9,97.1,No
41,842929,88.4,16.8,53637,35,65,No
23,76055,94.1,9.1,56277,0.6,99.4,No
18,1029519,82.7,11.3,84647,3.2,96.8,No
48,32203,96.7,30,39371,1.3,98.7,No
26,69041,86.4,32.2,31044,10.9,89.1,No
51,15183,86.5,26.9,39906,4,96,No
23,59722,66.9,30.9,38456,1.2,98.8,No
36,99767,95.6,5.5,103051,8.4,91.6,No
33,638306,85,18.3,47779,15.1,84.9,No
37,66405,87.7,19.3,41924,30,70,No
30,1487680,81.4,19.8,46744,6.9,93.1,No
28,183261,91.7,21.6,49012,5.9,94.1,No
51,11649,75.9,22,34201,13.7,86.3,No
63,286290,93.5,7.5,83793,7.6,92.4,No
41,6613,93,11.2,59821,6.5,93.5,No
